old_locus_tag	GO RNA-binding	Protein names	Gene Names	Gene Names (ordered locus)	small_ribosomal	large_ribosomal	ribosomal protein
slr0628	True	Small ribosomal subunit protein uS14 (30S ribosomal protein S14)	rpsN rps14 slr0628	slr0628	True	False	True
sll1290	True	Uncharacterized ribonuclease sll1290 (EC 3.1.-.-)	sll1290	sll1290	False	False	False
sll1824	True	Large ribosomal subunit protein bL25 (50S ribosomal protein L25)	rplY sll1824	sll1824	False	True	True
ssl3445	True	Large ribosomal subunit protein bL31 (50S ribosomal protein L31)	rpmE rpl31 ssl3445	ssl3445	False	True	True
sll1822	True	Small ribosomal subunit protein uS9 (30S ribosomal protein S9)	rpsI rps9 sll1822	sll1822	True	False	True
sll1809	True	Small ribosomal subunit protein uS8 (30S ribosomal protein S8)	rpsH rps8 sll1809	sll1809	True	False	True
sll1805	True	Large ribosomal subunit protein uL16 (50S ribosomal protein L16)	rplP rpl16 sll1805	sll1805	False	True	True
ssl3432	True	Small ribosomal subunit protein uS19 (30S ribosomal protein S19)	rpsS rps19 ssl3432	ssl3432	True	False	True
sll1801	True	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)	rplW rpl23 sll1801	sll1801	False	True	True
sll1799	True	Large ribosomal subunit protein uL3 (50S ribosomal protein L3)	rplC rpl3 sll1799	sll1799	False	True	True
slr0954	True	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	mrnC slr0954	slr0954	False	False	False
sll1244	True	Large ribosomal subunit protein bL9 (50S ribosomal protein L9)	rplI rpl9 sll1244	sll1244	False	True	True
ssl1784	True	Small ribosomal subunit protein uS15 (30S ribosomal protein S15)	rpsO rps15 ssl1784	ssl1784	True	False	True
sll1821	True	Large ribosomal subunit protein uL13 (50S ribosomal protein L13)	rplM rpl13 sll1821	sll1821	False	True	True
ssl3441	True	Translation initiation factor IF-1	infA ssl3441	ssl3441	False	False	False
sll1811	True	Large ribosomal subunit protein uL18 (50S ribosomal protein L18)	rplR rpl18 sll1811	sll1811	False	True	True
sll1807	True	Large ribosomal subunit protein uL24 (50S ribosomal protein L24)	rplX rpl24 sll1807	sll1807	False	True	True
ssl3437	True	Small ribosomal subunit protein uS17 (30S ribosomal protein S17)	rpsQ rps17 ssl3437	ssl3437	True	False	True
sll1803	True	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)	rplV rpl22 sll1803	sll1803	False	True	True
slr0361	True	Uncharacterized RNA pseudouridine synthase slr0361 (EC 5.4.99.-) (RNA pseudouridylate synthase) (RNA-uridine isomerase)	slr0361	slr0361	False	False	False
sll0517	True	Putative RNA-binding protein RbpA	rbpA sll0517	sll0517	False	False	False
sll0546	True	Uncharacterized protein sll0546	sll0546	sll0546	False	False	False
